,text,favourite_count,retweet_count,created_at,handle
128,Amazon is banning some non-essential items during the coronavirus pandemic https://t.co/DUfq4vxtUD,19,8,2020-03-17 15:08:11+00:00,@recode
129,A tiny Amazon seller s hand sanitizer went viral because of coronavirus. Then the trouble began. https://t.co/XYyamlC0xt,8,5,2020-03-13 11:23:37+00:00,@recode
130,Amazon will spend $5 million to prop up Seattle businesses harmed by coronavirus precautions https://t.co/V4l4yBjEWO,10,4,2020-03-10 18:52:10+00:00,@recode
131,Amazon is selling its futuristic cashierless technology to other stores https://t.co/jnXOpIg6z9,10,9,2020-03-09 16:44:12+00:00,@recode
132,Amazon s $350 hand sanitizer: Why a trillion-dollar tech giant can t stop coronavirus price gougers https://t.co/o9GQ4dNgCd,16,12,2020-03-05 19:12:50+00:00,@recode
133,Amazon s bestselling products read like a coronavirus prep guide https://t.co/O83nh0Adm3,5,5,2020-02-28 23:06:51+00:00,@recode
134,Walmart is quietly working on an Amazon Prime competitor called Walmart+ https://t.co/5Hg9CJhHXu,21,12,2020-02-27 16:03:38+00:00,@recode
135,Amazon is opening a supermarket with no cashiers. Is Whole Foods next? https://t.co/Bsl5XRYKsw,37,22,2020-02-25 08:08:05+00:00,@recode
136,Amazon tells Sanders and Warren that warehouse workers can pee whenever they want https://t.co/DfBOtEOXuz,5,2,2020-02-24 21:52:14+00:00,@recode
137,Apple and Google are reportedly mulling big changes amid antitrust scrutiny. Is Amazon next? https://t.co/FWEuxYQuBH,7,1,2020-02-20 17:21:52+00:00,@recode
138,Walmart paid Wall Street investors $12 billion last year to keep them happy. Amazon paid $0. https://t.co/lSxf7o266D,5,5,2020-02-18 19:56:55+00:00,@recode
139,"Amazon can t end fake reviews, but its new system might drown them out https://t.co/XKHGsMkq3S",8,3,2020-02-14 12:12:13+00:00,@recode
140,Jeff Bezos s first employee: Amazon  scares me  https://t.co/2KApxf3ugA,13,3,2020-02-13 18:36:54+00:00,@recode
141,"Antitrust officials ordered Facebook, Amazon, and other tech giants to disclose 10 years of acquisition documents https://t.co/c32C7kYURh",6,2,2020-02-11 19:31:23+00:00,@recode
142,Bernie Sanders and Elizabeth Warren to Jeff Bezos: Overhaul Amazon s  profit-at-all-costs culture  https://t.co/WEdRcBFi5b,6,3,2020-02-10 23:32:36+00:00,@recode
